cos_theta,nominal,h1-100cm,h2-50cm,h3-30cm,dima,dima+,dima-,dragon,greco,baseline,msu2,martin_0.6_14,martin_0.8_40,martin_1.8_125,all,tilted,horizontal,bfp_three_flav,bfp_sterile
-0.040000000000000036,0.2541408797931532,0.2791126566014143,0.30357896779345755,0.327493211781768,0.33513581582413465,0.3445089879094801,0.32576250149081865,0.33791333530409623,0.3425926181729445,0.3396224856358295,0.33082414833243606,0.33677954202417987,0.33159673044981347,0.3455549287441736,0.3547590902261697,0.3630382027656768,0.3437321187657754,0.342781600658786,0.31909974441852623
-0.020000000000000018,0.26216853661750317,0.29057483570801884,0.31536787346911654,0.33894459066987487,0.33972951588991873,0.34815340092438546,0.33130550339931836,0.3435097457382479,0.34712715767729885,0.3448749114954933,0.3347848418452586,0.34322712463078686,0.34009106869563654,0.3554528026143217,0.3628914850846039,0.3711115900828636,0.3523220028099088,0.3506090725121578,0.33112660123965243
0.0,0.27027174943311605,0.30227035784319495,0.32740377608260873,0.3506258409741828,0.3442345046847118,0.35166449169923175,0.33680440570077713,0.3490637880025848,0.3515697837206874,0.3500689075146506,0.33862772497329496,0.34967189278617544,0.3486778554469826,0.3655073750347244,0.3710981164581815,0.37925596833288344,0.3610080224054326,0.35849737156754946,0.3434105400655468
0.020000000000000018,0.2784750614811818,0.3141896939959118,0.339668049630098,0.36251469555562993,0.34868130409720977,0.3550778853865095,0.3422846269395765,0.3545972328583196,0.35594951446585893,0.35522854094412454,0.34238952227505237,0.35612911419082416,0.3573573720821211,0.37570400866047876,0.3793760190624402,0.38746664930864694,0.36978647842943496,0.36644914478335777,0.3559269187344454
0.040000000000000036,0.28680301600289015,0.326323315155139,0.3521420681077484,0.374588887275154,0.35310043601610885,0.35842920713870907,0.3477715856600985,0.36013185106666473,0.36029536807556195,0.3603778790347387,0.3461069583090381,0.36261405654521167,0.36612989997932144,0.38602806614668195,0.38772222761291747,0.3957389448030649,0.3786536717590046,0.3744670391179797,0.3686510950845844
0.06000000000000005,0.29528015623943077,0.33866169230984566,0.3648072055117234,0.3868261489936927,0.3575224223301047,0.3617540821083206,0.35329070040672467,0.3656894133888323,0.3646363627125447,0.365540989037316,0.34981675763375913,0.36914198754981625,0.3749957205168528,0.39646491014843066,0.3961337768251505,0.40406816660904765,0.38760590327122924,0.38255370152981183,0.3815584269541999
0.08000000000000007,0.30393102543199363,0.3511952964490013,0.3776448358381871,0.39920421357218416,0.3619777849278937,0.3650881354478347,0.35886738972383664,0.3712916905860349,0.3690015165395556,0.37074193820268,0.3535556448077228,0.3757281749051166,0.3839551150729846,0.4069999033208221,0.4046077014146768,0.41244962651950606,0.39663947384319737,0.3907117789772512,0.3946242721815281
0.10000000000000009,0.31278016682176807,0.36391459856157493,0.3906363330833028,0.41170081387156554,0.36649704569817126,0.3684669923097413,0.3645270721558159,0.37696045341948436,0.37341984771934295,0.3760047937816535,0.35736034438943587,0.3823878863115908,0.3930083650259858,0.4176184083189527,0.4131410360970333,0.42087863632735034,0.4057506843519968,0.3989439184186941,0.407823988604805
0.1200000000000001,0.32185212364994426,0.3768100696365363,0.40376307124323496,0.42429368275277535,0.37111072652963395,0.37192627784653115,0.3702951662470445,0.38271747265039363,0.3779203744146555,0.38135362302506043,0.3612675809374059,0.3891363894697179,0.4021557517541261,0.4283057877979201,0.421730815587758,0.4293505078254915,0.41493583567471626,0.4072527668125379,0.4211329340622669
0.14000000000000012,0.3311714391577117,0.3898721806628544,0.4170064243141468,0.4369605530767508,0.3758493493109773,0.37550161721069436,0.37619709054190376,0.3885845190399747,0.38253211478824123,0.3868124931837235,0.36531407901013974,0.395988952079976,0.41139755663567446,0.4390474044128207,0.43037407460238797,0.4378605528068398,0.4241912286884438,0.41564097111717907,0.4345264663921496
0.15999999999999992,0.3407626565862602,0.40309140262949855,0.43034776629220234,0.44967915770442995,0.38074343593089754,0.3792286355547213,0.38225826358477566,0.3945833633494401,0.3872840870028489,0.3924054715084662,0.36953656316614464,0.4029608418428436,0.4207340610489004,0.44982862081875163,0.4390678478564604,0.44640408306430596,0.4335131642702675,0.42411117829101436,0.4479799434326894
0.17999999999999994,0.35065031917677963,0.4164582065254385,0.4437684711735657,0.46242722949675075,0.38582350827809064,0.38314295803110243,0.3885041039200419,0.4007357763400021,0.3922053092212267,0.3981566252501119,0.37397175796392773,0.41006732645879945,0.43016554637207316,0.46063479967081006,0.44780917006551313,0.4549764103908009,0.4428979432972757,0.4326660352924409,0.46146872302212255
0.19999999999999996,0.36085897017045976,0.42996306333964324,0.4572499129544003,0.47518250131465084,0.3911200882412525,0.38728020979232797,0.3949600300920839,0.4070635287728732,0.39732479960612316,0.4040900216594839,0.3786563879619963,0.41732367362832196,0.43969229398346216,0.47145130362409277,0.4565950759450832,0.46357284657923487,0.45234186664655673,0.4413081890798553,0.4749681629986852
0.21999999999999997,0.3714131528084902,0.4435964440610822,0.47077346563087014,0.4879227060190679,0.39666369770907906,0.39167601599088825,0.4016514606452835,0.4135883914092656,0.40267157632028666,0.4102297279874051,0.38362717771885724,0.4247451510518895,0.4493145852613364,0.4822634953336968,0.465422600210708,0.4721887034225185,0.4618412351951987,0.45004028661165435,0.4884536212006132
0.24,0.38233741033206076,0.45734881967872465,0.48432050319913883,0.5006255764709399,0.4024848585702664,0.39636600177927367,0.40860381412402236,0.42033213501039146,0.40827465752646563,0.41659981148469905,0.3889208517930178,0.4323470264299805,0.4590327015839654,0.4930567374547189,0.474288777577925,0.4808192927135625,0.4713923498202898,0.45886497484623473,0.5019004554661429
0.26,0.39365628598236135,0.47121066118154015,0.49787239965537045,0.5132688455312047,0.4086140927135105,0.40138579230997457,0.4158425090726823,0.42731653033746364,0.4141630613874086,0.4232243394021891,0.3945741347429852,0.440144567463074,0.4688469243296184,0.5038163926422563,0.48319064276227175,0.48945992624527757,0.4809915113989184,0.4677849007419936,0.5152840236335106
0.28,0.40539432300058137,0.48517243955849754,0.5114105289957285,0.5258302460607998,0.41508192202750716,0.4067710127354811,0.4233929640356445,0.434563348151694,0.4203658060658636,0.4301273789906983,0.40062375112726634,0.44815304185164767,0.4787575348765646,0.5145278235514056,0.4921252304792851,0.498105915810574,0.49063502080817234,0.4768027112573272,0.5285796835409518
0.30000000000000004,0.4175760646279109,0.4992246257985666,0.5249162652163769,0.5382875109206633,0.42191886840095255,0.41255728820828386,0.43128059755729126,0.4420943592142952,0.42691190972457943,0.43733299750105,0.40710642550436854,0.45638771729618055,0.4887648146030734,0.5251763928372641,0.5010895754445029,0.5067525732023627,0.5003191789251403,0.48592105335063274,0.5417627930267029
0.32000000000000006,0.4302260541055395,0.5133576908907165,0.5383709823134795,0.5506183729717328,0.42915545372254255,0.41878024388087304,0.43953082818200395,0.44993133428647925,0.4338303905263043,0.4448652621840674,0.4140588824327989,0.4648638614971509,0.4988690448874142,0.5357474631549286,0.5100807123734622,0.515395210213554,0.5100402866269103,0.49514257398030687,0.5548087099290003
0.3400000000000001,0.44336883467465726,0.5275621058239168,0.5517560542832002,0.5628005650749462,0.43682219988097326,0.4254755049057391,0.44816907445416426,0.458096044129459,0.44115026663378676,0.452748240290574,0.4215178464710646,0.47359674215503755,0.5090705071078561,0.5462263971594962,0.5190956759817008,0.5240291386370588,0.5197946447905706,0.5044699201047464,0.5676927920860801
0.3600000000000001,0.45702768127703386,0.5418273757305261,0.5650518780884877,0.5748107656520716,0.44494786645391377,0.43267682109892097,0.457219105634306,0.46660859365287344,0.4488987744266443,0.46100429531510356,0.42951822359843195,0.4826000493144008,0.5193681215069832,0.556597313177815,0.5281300613316406,0.5326482096690219,0.5295771808823554,0.5139042898282369,0.5803894163183374
0.3800000000000001,0.47119669796778746,0.5561207910408625,0.5782163789283469,0.5866014010239703,0.45352067986541866,0.4403748095380798,0.4666667574544577,0.47545077318018053,0.4570621692724843,0.4696166043575364,0.43805309247162566,0.49185118693369256,0.5297295022066206,0.5668157099870171,0.5371463514640581,0.5412126807799786,0.5393512339188543,0.5234135576105005,0.5928503960358317
0.40000000000000013,0.48584081791538386,0.5703874274832038,0.5911850102378392,0.5981006454105975,0.4624883333859273,0.4485169545624983,0.4764599321181434,0.48456605844865785,0.46558572552690425,0.4785291581230989,0.44707370442482935,0.5012912728852553,0.5400909572078337,0.5768084668145176,0.5460739173980833,0.5496492157148549,0.5490485544670135,0.532932274266697,0.6050049812382857
0.41999999999999993,0.5009237059888689,0.5845713949292164,0.6038922484188101,0.6092356185927386,0.4717967579748525,0.4570488651750081,0.4865448825450388,0.49389625934400894,0.4744129357623705,0.48768424356072815,0.45652949221298583,0.510859847385514,0.5503874333760033,0.5865012185594825,0.554840690499731,0.5578830176218109,0.558599519682924,0.5423935417578739,0.6167814409075818
0.43999999999999995,0.5164090270572891,0.5986168032505679,0.6162725698731061,0.6199334403511794,0.4813918845916072,0.4659161503784408,0.49686786165481983,0.5033831857519382,0.4834872925513498,0.4970241476193614,0.4663698885910378,0.5204964506508934,0.5605538775765095,0.5958196001210793,0.5633746021350168,0.5658392896490064,0.5679345067226776,0.55173046204508,0.6281080440256024
